Obj,Cpu,Nodes
1.4347621303809919,0.183976715,57
1.4426303305829737,0.016404776,25
1.5999112124110755,0.127891455,245
1.5768268647466934,0.057006171,195
1.5685917690415394,0.022355107,33
1.6052368854915917,0.080268504,247
1.6057357136510162,0.082962722,281
1.6487826997853874,0.074720519,223
1.684410982217829,0.17529797,537
1.6227826289011575,0.139307021,545
1.6454551472702876,0.808919159,2239
1.8071468667105688,0.576218781,1321
1.7802651806909568,2.155056621,4965
1.7510427784339664,0.998396376,3029
1.7646070490079446,0.952244795,2053
1.8619310586954503,28.045584493,46313
1.9299503219067833,15.868839938,23003
1.9012425830554844,76.800800049,104797
1.8738701093052712,146.6517893,205265
1.864863107860952,39.711265512,58569
1.9089979861849833,1074.098213002,943067
1.9833846380880746,1708.965561054,1282121
1.918191769522011,2306.602589691,1313043
1.9925164610196267,2607.204104703,1256875
1.87266187550006,130.007574727,103783
-2.363920036965028,0.029928169,77
-2.3742061276970445,0.055042912,71
-2.410293713173297,0.020317019,55
-2.485329970339015,0.057306397,89
-2.7761316912963587,0.057450095,77
-2.450698043036565,0.02626853,61
-2.5583581535983773,0.507643363,1135
-2.6683580946163725,0.032158024,101
-2.643581050357268,0.345901642,843
-2.652361775295024,0.322445491,765
-2.7798512276027147,0.600190703,1337
-2.3678340381092324,1.413970237,3161
-2.463048455700541,0.668326796,1175
-2.8895162138296246,0.332556445,235
-2.6329943878048168,0.98102766,2289
-2.826017755604819,18.565768022,32953
-2.6186844112688554,32.657216756,51965
-2.766789444336168,4.748369662,8245
-2.9365302539319726,36.999158337,64061
-2.7188108962799475,21.682988248,37637
-2.957585843799939,58.63318828,86521
-2.806267693268895,255.595268003,263501
-2.891978854091291,471.781710198,504827
-3.004324759213526,140.447322719,133441
-2.9391029576432928,123.258436833,89797
-0.04164443181669686,0.133803085,101
-0.04024201514904664,0.01638562,95
-0.03469278552662489,0.107929653,269
-0.03459581892556563,0.044684498,163
-0.03698008695420628,0.013033112,33
-0.049885659972499725,0.134356787,439
-0.05317524289799489,0.039527014,87
-0.04462609676949116,0.127951388,365
-0.04509220435446989,0.058031538,139
-0.04945256359714397,0.085844298,291
-0.07286980195473787,0.344993751,529
-0.05737448862927901,0.619415287,1181
-0.06432603196568881,0.49067373,1289
-0.06790863075502497,0.234868482,373
-0.0641476148826146,0.127682079,263
-0.07692362101217726,8.406649863,14685
-0.07074382427277973,2.834798314,5643
-0.07135504810755924,13.492042693,23587
-0.07396783746525715,11.213068416,28711
-0.0741566590463649,15.967978058,35585
-0.08647614190857661,72.21038487,126387
-0.08211196988011571,19.589787793,33531
-0.08688110300850693,113.0943002,181167
-0.07905015875133341,212.253095649,290163
-0.09015929548444254,14.775116637,22913
-0.4389460297342367,0.009510677,27
-0.4525564370243029,0.017484146,51
-0.4452695221405012,0.01659529,39
-0.4721925134474174,0.018224658,57
-0.469818605490253,0.014683723,47
-0.4546039304531777,0.048963283,67
-0.4747696152092616,0.031185394,141
-0.4801481882453049,0.08152513,239
-0.5011196412591132,0.118971225,381
-0.4856789905093457,0.20944518,449
-0.526390958284419,0.122525212,361
-0.4931444986589571,0.329962554,767
-0.49903667499314985,0.294860751,697
-0.5398094577379947,0.346028227,867
-0.5170349076324089,0.213992186,459
-0.5553901405399857,1.202744283,2471
-0.5338343262575932,1.089757618,1943
-0.5418121903218459,3.492173337,6917
-0.5621299074005841,2.064558925,4769
-0.5425618881209422,0.410294557,991
-0.5826154678069759,15.26997663,29937
-0.5652804326213872,34.074806657,71153
-0.5820682239269804,11.176683634,22717
-0.5861726363331152,5.152281878,12355
-0.5779309319829065,1.01528788,2419
